DAILY VALUES

Stations
Stnr;Name;Operates from;Operates until;Altitude;Latitude;Longitude;Municipality;County;Region
27400;NØTTERØY - FØYNLAND;Jul 1895;;2;59.2366;10.4560;Færder;Vestfold;SOUTHEASTERN NORWAY
27410;MÅKERØY;Dec 1967;Sep 1994;43;59.1578;10.4402;Færder;Vestfold;SOUTHEASTERN NORWAY
27450;MELSOM;Apr 1959;;26;59.2300;10.3483;Sandefjord;Vestfold;SOUTHEASTERN NORWAY
27470;TORP;Sep 1959;;88;59.1845;10.2553;Sandefjord;Vestfold;SOUTHEASTERN NORWAY
27500;FÆRDER FYR;Jan 1885;;6;59.0272;10.5242;Færder;Vestfold;SOUTHEASTERN NORWAY

Elements
Code;Name;Unit
TAM;Mean temperature;degC
TAN;Minimum temperature;degC
TAND;Air temperatur;degC
TAX;Maximum temperature;degC
TAXD;Air temperature;degC


****************** NOTE *****************
27470 No data for TAND, TAXD
********************************************
****************** NOTE *****************
27410 No data for TAND, TAXD
********************************************
****************** NOTE *****************
No data for: 27470, 27470, 27470, 27470, 27470, 27470
********************************************

Quality information for calculated values
Explanation;Code
OK;OK
Slightly uncertain;LU
Very uncertain;SU
Very uncertain, modeldata;SU-M
Erroneous;FE

****************** NOTE *****************
Datavalue marked x means not access or that the quality is 'Very uncertain, modeldata' (Level 6 or more).
********************************************

St.no;Date;TAM;fTAM;TAN;fTAN;TAND;fTAND;TAX;fTAX;TAXD;fTAXD
27400;10.05.2016;18.1;OK;11.5;-9999;11.5;-9999;23.5;-9999;23.5;-9999
27400;11.05.2016;14.1;OK;10.4;-9999;10.4;-9999;21.6;-9999;19.6;-9999
27400;12.05.2016;12.7;OK;6.1;-9999;6.1;-9999;18.2;-9999;18.2;-9999
27400;13.05.2016;9.5;OK;6.8;-9999;6.8;-9999;15.1;-9999;12.8;-9999
27400;14.05.2016;9.4;OK;4.8;-9999;4.8;-9999;13.1;-9999;13.1;-9999
27400;15.05.2016;10.8;OK;6.7;-9999;6.7;-9999;14.7;-9999;14.7;-9999
27400;16.05.2016;11.0;OK;6.2;-9999;6.2;-9999;16.4;-9999;16.4;-9999
27400;17.05.2016;10.8;OK;4.0;-9999;4.0;-9999;16.1;-9999;16.1;-9999
27400;18.05.2016;11.6;OK;7.6;-9999;7.6;-9999;16.2;-9999;16.2;-9999
27400;19.05.2016;12.5;OK;9.5;-9999;9.5;-9999;16.0;-9999;16.0;-9999
27400;20.05.2016;11.1;OK;9.7;-9999;-9999;-9999;13.5;-9999;-9999;-9999
27400;21.05.2016;11.5;OK;7.1;-9999;-9999;-9999;15.1;-9999;-9999;-9999
27400;22.05.2016;12.9;OK;11.2;-9999;11.4;-9999;15.0;-9999;15.0;-9999
27400;23.05.2016;12.4;OK;12.1;-9999;12.1;-9999;14.0;-9999;13.7;-9999
27400;24.05.2016;11.5;OK;10.1;-9999;10.1;-9999;12.5;-9999;12.5;-9999
27400;25.05.2016;13.7;OK;10.2;-9999;10.2;-9999;17.9;-9999;17.9;-9999
27400;26.05.2016;14.5;OK;8.6;-9999;8.6;-9999;19.3;-9999;19.3;-9999
27400;27.05.2016;15.5;OK;12.2;-9999;12.2;-9999;20.3;-9999;20.3;-9999
27400;28.05.2016;14.4;OK;11.7;-9999;11.7;-9999;17.6;-9999;17.6;-9999
27400;29.05.2016;13.5;OK;12.3;-9999;12.3;-9999;16.7;-9999;14.6;-9999
27400;30.05.2016;16.5;OK;12.9;-9999;12.9;-9999;21.3;-9999;21.3;-9999
27400;31.05.2016;20.0;OK;14.9;-9999;14.9;-9999;25.7;-9999;25.7;-9999
27400;01.06.2016;21.3;OK;14.4;-9999;14.4;-9999;27.1;-9999;27.1;-9999
27400;02.06.2016;21.9;OK;16.5;-9999;16.5;-9999;27.3;-9999;27.3;-9999
27400;03.06.2016;22.5;OK;15.1;-9999;15.1;-9999;28.8;-9999;28.8;-9999
27400;04.06.2016;18.8;OK;15.2;-9999;15.2;-9999;26.7;-9999;22.7;-9999
